Time,Voltage,Current
0.02111696792,488.4092192,0.02713378343
0.02112572044,488.4092211,0.0271339466
0.02113447296,488.4092231,0.02713410682
0.02117328506,488.4092317,0.02713478279
0.02127102408,488.4092535,0.02713624943
0.0213495741,488.4092711,0.02713719497
0.0213671911,488.409275,0.02713737968
0.02137108621,488.4092759,0.02713741927
0.02137498132,488.4092768,0.02713745841
0.02137887643,488.4092776,0.02713749711
0.02138490078,488.409279,0.02713755608
0.02139391817,488.409281,0.02713764238
0.02140614913,488.4092837,0.02713775574
0.02142161634,488.4092872,0.02713789314
0.02144298649,488.409292,0.02713807249
0.02147660599,488.4092995,0.02713833154
0.02153171573,488.4093119,0.02713870167
0.02159012382,488.409325,0.02713903009
0.02166997643,488.4093429,0.0271394005
0.02174982904,488.4093608,0.0271397103
0.02182968165,488.4093787,0.02713999527
0.02190953426,488.4093967,0.02714028973
0.02198938687,488.4094146,0.02714062506
0.02206923948,488.4094325,0.02714102876
0.02214909209,488.4094504,0.02714152368
0.0222289447,488.4094684,0.02714212757
0.02230879731,488.4094863,0.02714285276
0.02241608524,488.4095105,0.02714402917
0.02256445653,488.409544,0.0271460282
0.02270052427,488.4095749,0.02714820741
0.02280788816,488.4095994,0.02715012375
0.02291525204,488.4096239,0.02715216729
0.02302261593,488.4096485,0.02715429156
0.02312997982,488.4096732,0.02715644835
0.02323734371,488.409698,0.02715859096
0.0233447076,488.4097228,0.02716067751
0.02345207149,488.4097476,0.02716267357
0.02355943538,488.4097725,0.02716455388
0.02366679927,488.4097974,0.02716630321
0.02379890354,488.409828,0.02716827013
0.02401077305,488.409877,0.02717104817
0.02414477581,488.409908,0.02717260077
0.02427877857,488.409939,0.02717405323
0.02439013137,488.4099646,0.02717521982
0.02450148417,488.4099903,0.02717638523
0.02461283697,488.4100159,0.02717757802
0.02472418976,488.4100416,0.02717882231
0.02483554256,488.4100672,0.02718013659
0.02494689536,488.4100928,0.02718153306
0.02509679318,488.4101273,0.02718355098
0.02532258475,488.4101795,0.02718686183
0.02548931233,488.410218,0.02718948267
0.02565603991,488.4102567,0.02719219762
0.02579301604,488.4102885,0.02719446203
0.02592999217,488.4103204,0.02719672187
0.0260669683,488.4103523,0.02719895109
0.02620394442,488.4103843,0.0272011305
0.02634092055,488.4104163,0.02720324877
0.02653203292,488.4104609,0.02720609885
0.02677733742,488.4105183,0.02720960947
0.02696455774,488.410562,0.02721221021
0.02715177806,488.4106058,0.0272147889
0.02733899838,488.4106496,0.027217385
0.0275262187,488.4106934,0.02722002947
0.02771343902,488.4107372,0.02722274027
0.02790065934,488.4107811,0.02722552087
0.02819068638,488.4108491,0.02722993263
0.02841601112,488.4109019,0.02723341475
0.02864133586,488.4109548,0.02723689908
0.02886666059,488.4110078,0.027240351
0.02909198533,488.4110607,0.027243749
0.02931731007,488.4111137,0.0272470876
0.02972795675,488.4112101,0.02725306865
0.03000859049,488.411276,0.02725711195
0.03028922424,488.4113419,0.02726116332
0.03056985798,488.4114077,0.02726524401
0.03085049173,488.4114735,0.02726935594
0.03126319758,488.4115702,0.02727542051
0.03159659018,488.4116483,0.02728030172
0.03192998278,488.4117263,0.02728513366
0.03226337537,488.4118043,0.02728990455
0.03270972252,488.4119084,0.02729619895
0.0330593608,488.4119899,0.02730107594
0.03340899908,488.4120713,0.02730594801
0.03375863735,488.4121528,0.02731086008
0.03410827563,488.4122342,0.0273158443
0.03445791391,488.4123158,0.02732090903
0.03498296867,488.4124385,0.02732862338
0.0354078453,488.412538,0.02733492211
0.03583272194,488.4126377,0.02734123325
0.03625759857,488.4127376,0.02734754684
0.03694695723,488.4128998,0.02735781844
0.03763631589,488.4130624,0.02736813438
0.03832567455,488.4132251,0.02737846904
0.03915830304,488.4134217,0.02739090477
0.03999093152,488.4136183,0.02740324458
0.04082356001,488.4138146,0.02741547524
0.04205683102,488.4141048,0.02743337566
0.04285778582,488.4142928,0.02744484251
0.04343805461,488.4144288,0.02745305487
0.0440183234,488.4145645,0.02746121692
0.0445985922,488.4147002,0.02746940475
0.04506893719,488.4148103,0.0274761066
0.04553928219,488.4149205,0.02748288264
